,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
26,mt,smoothed_cli,2020-09-02,2020-11-19,78,0.7782893,0.1935585,1573.8278,state,fb-survey
27,nc,smoothed_cli,2020-09-02,2020-11-19,78,0.6472104,0.0684397,10273.0104,state,fb-survey
28,nd,smoothed_cli,2020-09-02,2020-11-19,78,0.754783,0.2416294,975.1192,state,fb-survey
29,ne,smoothed_cli,2020-09-02,2020-11-19,78,0.8654056,0.1680336,2196.7438,state,fb-survey
30,nh,smoothed_cli,2020-09-02,2020-11-19,78,0.2415202,0.0997995,1877.0,state,fb-survey
31,nj,smoothed_cli,2020-09-02,2020-11-19,78,0.2384935,0.0464526,7374.9962,state,fb-survey
32,nm,smoothed_cli,2020-09-02,2020-11-19,78,0.3791428,0.1092759,2103.5836,state,fb-survey
33,nv,smoothed_cli,2020-09-02,2020-11-19,78,0.7373283,0.150633,2431.5356,state,fb-survey
34,ny,smoothed_cli,2020-09-02,2020-11-19,78,0.3498066,0.041918,15160.0023,state,fb-survey
35,oh,smoothed_cli,2020-09-02,2020-11-19,78,0.43915,0.052862,12108.0008,state,fb-survey
36,ok,smoothed_cli,2020-09-02,2020-11-19,78,0.7092402,0.1059427,4557.8675,state,fb-survey
37,or,smoothed_cli,2020-09-02,2020-11-19,78,0.4077477,0.0827431,4583.9373,state,fb-survey
38,pa,smoothed_cli,2020-09-02,2020-11-19,78,0.3763739,0.0450196,14214.0081,state,fb-survey
39,ri,smoothed_cli,2020-09-02,2020-11-19,78,0.393524,0.162848,1295.981,state,fb-survey
40,sc,smoothed_cli,2020-09-02,2020-11-19,78,0.713448,0.0974326,5692.0025,state,fb-survey
41,sd,smoothed_cli,2020-09-02,2020-11-19,78,0.5490943,0.1693668,1208.8428,state,fb-survey
42,tn,smoothed_cli,2020-09-02,2020-11-19,78,0.8780356,0.0963513,6446.5474,state,fb-survey
43,tx,smoothed_cli,2020-09-02,2020-11-19,78,0.708361,0.050072,21306.2713,state,fb-survey
44,ut,smoothed_cli,2020-09-02,2020-11-19,78,0.6760607,0.1242489,3281.2712,state,fb-survey
45,va,smoothed_cli,2020-09-02,2020-11-19,78,0.4679877,0.0616326,8598.5601,state,fb-survey
46,vt,smoothed_cli,2020-09-02,2020-11-19,78,0.2831256,0.1785072,883.0005,state,fb-survey
47,wa,smoothed_cli,2020-09-02,2020-11-19,78,0.3680817,0.0583368,7953.9512,state,fb-survey
48,wi,smoothed_cli,2020-09-02,2020-11-19,78,0.5495129,0.0826204,6028.9528,state,fb-survey
49,wv,smoothed_cli,2020-09-02,2020-11-19,78,0.5006836,0.1229836,2393.2047,state,fb-survey
50,wy,smoothed_cli,2020-09-02,2020-11-19,78,0.5855672,0.2192017,759.7503,state,fb-survey
0,ak,smoothed_cli,2020-09-03,2020-11-19,77,0.5919158,0.2336455,860.0,state,fb-survey
1,al,smoothed_cli,2020-09-03,2020-11-19,77,1.0625549,0.1365636,4426.1403,state,fb-survey
2,ar,smoothed_cli,2020-09-03,2020-11-19,77,0.794047,0.1328355,3115.7836,state,fb-survey
3,az,smoothed_cli,2020-09-03,2020-11-19,77,0.4290957,0.0727356,6030.7424,state,fb-survey
4,ca,smoothed_cli,2020-09-03,2020-11-19,77,0.4521491,0.0370946,24510.6964,state,fb-survey
5,co,smoothed_cli,2020-09-03,2020-11-19,77,0.390334,0.0693742,5807.9034,state,fb-survey
6,ct,smoothed_cli,2020-09-03,2020-11-19,77,0.3048407,0.0690773,4352.0,state,fb-survey
7,dc,smoothed_cli,2020-09-03,2020-11-19,77,0.7813791,0.3343643,643.0,state,fb-survey
8,de,smoothed_cli,2020-09-03,2020-11-19,77,0.1717529,0.1036816,1292.0,state,fb-survey
9,fl,smoothed_cli,2020-09-03,2020-11-19,77,0.6431324,0.050707,19382.0023,state,fb-survey
10,ga,smoothed_cli,2020-09-03,2020-11-19,77,0.8513411,0.0894751,8211.9108,state,fb-survey
11,hi,smoothed_cli,2020-09-03,2020-11-19,77,0.4868356,0.1742363,1342.0,state,fb-survey
12,ia,smoothed_cli,2020-09-03,2020-11-19,77,0.9009364,0.1223496,4340.1757,state,fb-survey
13,id,smoothed_cli,2020-09-03,2020-11-19,77,1.0044173,0.1893928,2155.6245,state,fb-survey
14,il,smoothed_cli,2020-09-03,2020-11-19,77,0.5449963,0.0586332,12164.0232,state,fb-survey
15,in,smoothed_cli,2020-09-03,2020-11-19,77,0.6298849,0.0818807,6803.005,state,fb-survey
16,ks,smoothed_cli,2020-09-03,2020-11-19,77,0.7863354,0.1341978,3357.9523,state,fb-survey
